index_col,tweet_text,country,no_user_mentions,ukraine,russia,ukrainewar,istandwithukraine,standwithukraineflag,istandwithputin,istandwithrussia,russianukrainewar
69,lyudmyla panchenko ukrainian artist spent weeks occupation alone bed ridden without f ,United States,1,0,1,0,0,0,0,0,0
70,verified ,Costa Rica,1,1,0,0,0,0,0,0,0
71,nanshi shifty met brokered deal ,Georgia,1,1,0,0,0,0,0,0,0
72,watch exclusive army chief gen manoj pande amp talks border ,India,3,0,0,0,0,0,0,0,0
73,exclusive video destroyed farm land grain equipment evidence genocide terrorism agains ,Philippines,1,0,1,0,0,0,0,0,0
74,infamous open letter intellectuals amp artists calling stop supporting amp effectively fo ,Belgium,1,1,0,0,0,0,0,0,0
75,wonder even know whole world watching hour every day ,Canada,1,0,0,0,0,0,0,0,0
76,partners ground ready receive evacuees proud one ,Ukraine,3,1,0,0,0,0,0,0,0
77,voice putin withdraw gained invading sovereign country wes ,Ethiopia,0,1,0,0,0,0,0,0,0
78,reportedly along maj general simonov high ranking officers including majors colonels killed ,Ireland,1,0,0,0,0,0,0,0,0
79,update yesterday attack rus hq designed liquidate high value target chief g ,Estonia,1,1,0,0,0,0,0,0,0
80,infamous open letter intellectuals amp artists calling stop supporting amp effectively fo ,Denmark,1,1,0,0,0,0,0,0,0
81,join us discuss things ,United States,1,1,0,0,0,0,0,0,0
82,minute statement allows one decide must view rare hear frank talk peace negotiations ,Canada,1,0,0,0,0,0,0,0,0
83,interesting improvised weapon spotted hands ukrainian troops mt lbu apc modded two b ,Canada,1,1,0,0,0,0,0,0,0
84,update yesterday attack rus hq designed liquidate high value target chief g ,Switzerland,1,1,0,0,0,0,0,0,0
85,need know ,France,1,1,1,0,0,0,0,0,0
86,video n load tap changer guidance illumination radar based ukranian gaz ,Greece,1,1,0,0,0,0,0,0,0
87,yesterday moment attack high ranked russian military officers gathered hqs ,Germany,1,1,0,0,0,0,0,0,0
88, committed ,United States,0,1,1,0,0,0,0,0,0
89,nice compilation glory ,Latvia,1,1,0,0,0,0,0,0,0
90,utterly inspiring interview courageous women refuse leave despite narrowly escaping bomb ,Malaysia,1,1,0,0,0,0,0,0,0
91,village gorenka elderly lady bakes easter cakes ruined house people lost everything ,United Kingdom,1,1,0,0,0,0,0,0,0
92,much world responded quickly people ukraine must get help well amp ,Saudi Arabia,3,1,0,0,0,0,0,0,0
93,shit never gets old glory ,Portugal,1,1,0,0,0,0,0,0,0
